Image Path,Text,Hashtag,cleaned_tags,fasttext_precision,fasttext_recall,fasttext_f1
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/tower/880.jpg,사탕이 흩뿌려진다~,['83타워전망대'],"['#사탕이', '#지딜']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/island/997.jpg,오룩도 경치 오오오오오 뭐야뭐야 너무 끝내주자너,"['부산,', '오륙도']","['#너무', '#오오오오오', '#경치', '#오룩도']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/mountain/889.jpg,올해 최고 한파가 있던 날 소백산 산행.... 몸을 제다로 가누지 못할 만큼의 칼바람을 경험하고 옴.... 소백아~ 다음엔 꽃 피는 계절에 올테니 살살 좀 다뤄줘~,"['등산스타그램,', '산스타그램,', '단양,', '소백산']","['#산행', '#한파가', '#소백산', '#올해']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/palace/837.jpg,궁은 이쁜데 하늘이 너무 흐리다,"['서울,', '창경궁,', '나들이,', '눈,', '눈온날,', '설경,', '사진그램,', '사진스타그램']","['#너무', '#하늘이', '#흐리다', '#궁은']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/tower/878.jpg,빛가람전망대 모노레일 탑승시간 2분여 한번은 탈만 함 봄 이되면 또 와야겠다..,"['모노레일,', '빛가람전망대,', '봄,', '나주']","['#탈만', '#한번은', '#모노레일', '#2분여', '#탑승시간']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/cave/932.jpg,집엔 언제 가지?,['동굴'],"['#집엔', '#언제', '#가지']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/palace/867.jpg,흐린날의 경희궁 숭정전,"['경희궁,', '숭정전,', '고궁']","['#흐린날의', '#숭정전', '#경희궁']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/cave/835.jpg,추석 연휴는 미로같은 환선굴에서 시원하게 보내고 갑니다.,"['추석연휴,', '심척,', '장호항,', '미로같은,', '환선굴,', '동해']","['#보내고', '#추석', '#시원하게', '#환선굴에서', '#연휴는']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/restaurant/840.jpg,북해도 출장 다녀왔습니다!,"['간식,', '커피,', '성수동맛집,', '카페,', '분위기']","['#출장', '#북해도']",0.0,0.0,0.0
/kaggle/input/korean-tourist-spot-dataset/Korean-Tourist-Spot-Dataset-master/kts/images/cave/847.jpg,여름엔 시원한 광명동굴로 오세요!,['광명동굴'],"['#시원한', '#오세요', '#광명동굴로', '#여름엔']",0.0,0.0,0.0
